"Title","Time","Mon","Tue","Wed","Thu","Fri","Sat","Sun","nth","Weekday","Months"
"Laundry","12:30 PM","","","","","","","x","","",""
"Credit Cards","2:00 PM","","","","","","","","Last","Sun","All"
"Standup","9:05 AM","x","x","x","x","x","","","","",""
"Board mtg","7:00 PM","","","","","","","","1st","Tue",""
"Quarterly tax","8:00 AM","","","","","","","","Last","Day","Quarterly"
"Rent","9:00 AM","","","","","","","","1st","Day","All"
"Mixed both","6:00 AM","x","","","","","","","2nd","Wed","All"
"Odd marks","7:15 am","TRUE","","","","","","","","",""
"No time row","","x","","","","","","","","",""
"","9:00 AM","x","","","","","","","","",""
"Ski season","6:00 PM","","","","","","x","","","","Sep, Oct, Nov, Dec"
"Summer swim","7:00 AM","x","","","","","","","","","Jun, Jul, Aug"
"Fourth Sun","5:00 PM","","","","","","","x","4th","",""
"Ambiguous nth","4:00 PM","x","x","","","","","","2nd","",""
"Rent 25th","9:00 AM","","","","","","","","25th","Day",""
"HOUSEHOLD","","","","","","","","","","",""

"Feb 30th","9:00 AM","","","","","","","","30th","Day",""
